operation,memory
0,0
1,100
2,3
3,35
4,135
5,45
6,77
7,177
8,86
9,118
10,218
11,128
12,160
13,260
14,164
15,196
16,296
17,207
18,239
19,339
20,245
21,277
22,377
23,290
24,322
25,422
26,324
27,356
28,456
29,368
30,400
31,500
32,411
33,443
34,543
35,448
36,480
37,580
38,487
39,519
40,619
41,525
42,557
43,657
44,571
45,603
46,703
47,610
48,642
49,742
50,646
51,678
52,778
53,688
54,720
55,820
56,723
57,755
58,855
59,760
60,792
61,892
62,797
63,829
64,929
65,835
66,867
67,967
68,874
69,906
70,1006
71,912
72,906
73,1006
74,913
75,945
76,1045
77,947
78,979
79,1079
80,994
81,1026
82,1126
83,1038
84,1070
85,1170
86,1075
87,1107
88,1207
89,1111
90,1143
91,1243
92,1154
93,1186
94,1286
95,1194
96,1226
97,1326
98,1231
99,1226
100,1326
101,1238
102,1270
103,1370
104,1279
105,1311
106,1411
107,1316
108,1311
109,1411
110,1315
111,1347
112,1447
113,1354
114,1386
115,1486
116,1390
117,1422
118,1522
119,1428
120,1460
121,1560
122,1469
123,1501
124,1601
125,1504
126,1536
127,1636
128,1543
129,1575
130,1675
131,1584
132,1616
133,1716
134,1622
135,1654
136,1754
137,1666
138,1698
139,1798
140,1701
141,1733
142,1833
143,1744
144,1776
145,1876
146,1779
147,1811
148,1911
149,1814
150,1846
151,1946
152,1852
153,1884
154,1984
155,1888
156,1884
157,1984
158,1891
159,1923
160,2023
161,1926
162,1958
163,2058
164,1962
165,1994
166,2094
167,2001
168,2033
169,2133
170,2036
171,2068
172,2168
173,2070
174,2102
175,2202
176,2104
177,2136
178,2236
179,2140
180,2172
181,2272
182,2178
183,2210
184,2310
185,2217
186,2249
187,2349
188,2254
189,2286
190,2386
191,2292
192,2324
193,2424
194,2339
195,2371
196,2471
197,2376
198,2408
199,2508
200,2415
201,2447
202,2547
203,2453
204,2485
205,2585
206,2494
207,2526
208,2626
209,2530
210,2526
211,2626
212,2537
213,2569
214,2669
215,2572
216,2604
217,2704
218,2612
219,2644
220,2744
221,2647
222,2644
223,2744
224,2649
225,2681
226,2781
227,2685
228,2717
229,2817
230,2721
231,2717
232,2817
233,2724
234,2756
235,2856
236,2759
237,2791
238,2891
239,2798
240,2791
241,2891
242,2798
243,2830
244,2930
245,2834
246,2866
247,2966
248,2876
249,2908
250,3008
251,2910
252,2908
253,3008
254,2916
255,2908
256,3008
257,2912
258,2908
259,3008
260,2919
261,2951
262,3051
263,2961
264,2993
265,3093
266,2998
267,2993
268,3093
269,2996
270,2993
271,3093
272,3003
273,3035
274,3135
275,3041
276,3073
277,3173
278,3076
279,3073
280,3173
281,3078
282,3110
283,3210
284,3112
285,3110
286,3210
287,3123
288,3155
289,3255
290,3158
291,3155
292,3255
293,3158
294,3190
295,3290
296,3196
297,3228
298,3328
299,3232
300,3228
301,3328
302,3240
303,3272
304,3372
305,3282
306,3314
307,3414
308,3318
309,3314
310,3414
311,3322
312,3354
313,3454
314,3357
315,3389
316,3489
317,3392
318,3389
319,3489
320,3395
321,3389
322,3489
323,3392
324,3424
325,3524
326,3431
327,3463
328,3563
329,3468
330,3500
331,3600
332,3503
333,3500
334,3600
335,3505
336,3537
337,3637
338,3545
339,3577
340,3677
341,3580
342,3612
343,3712
344,3618
345,3650
346,3750
347,3661
348,3693
349,3793
350,3698
351,3693
352,3793
353,3695
354,3727
